日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-06-10,601318,52.25,53.22,53.48,52.1,903235,4779498278.0,2.64,1.99,1.04,0.85
2026-06-11,601318,53.22,52.64,53.97,52.35,647641,3426033713.0,3.04,-1.09,-0.58,0.61
2026-06-12,601318,52.46,54.01,54.24,52.11,1102953,5923966809.0,4.05,2.6,1.37,1.03
2026-06-15,601318,54.3,54.23,55.96,53.8,1010577,5527730148.0,4.0,0.41,0.22,0.95
2026-06-16,601318,53.99,52.99,54.09,52.75,812508,4325837393.0,2.47,-2.29,-1.24,0.76
2026-06-17,601318,53.24,52.76,53.34,52.5,653906,3453554961.0,1.59,-0.43,-0.23,0.61
2026-06-18,601318,52.59,49.38,52.64,49.37,2178321,10954978558.0,6.2,-6.41,-3.38,2.04
2026-06-22,601318,49.39,51.98,52.29,48.66,1724972,8759839755.0,7.35,5.27,2.6,1.62
2026-06-23,601318,51.46,50.4,52.43,50.11,1220116,6233635916.0,4.46,-3.04,-1.58,1.14
2026-06-24,601318,50.69,49.12,50.88,49.03,1094158,5415518285.0,3.67,-2.54,-1.28,1.03
2026-06-25,601318,48.75,49.3,50.46,48.56,1214523,5996134269.0,3.87,0.37,0.18,1.14
2026-06-26,601318,49.29,47.23,49.49,47.2,1426441,6823881221.0,4.65,-4.2,-2.07,1.34
2026-06-29,601318,47.3,48.6,48.87,46.9,1089609,5250679148.0,4.17,2.9,1.37,1.02
2026-06-30,601318,48.3,47.74,48.94,47.35,949813,4537577336.0,3.27,-1.77,-0.86,0.89
2026-07-01,601318,47.6,49.53,50.09,47.19,1386217,6772060767.0,6.07,3.75,1.79,1.3
2026-07-02,601318,49.35,48.92,50.2,48.8,920130,4528699940.0,2.83,-1.23,-0.61,0.86
2026-07-03,601318,49.5,49.09,49.78,48.31,803331,3933213372.0,3.0,0.35,0.17,0.75
2026-07-06,601318,49.05,50.1,50.2,48.81,944956,4688935744.0,2.83,2.06,1.01,0.89
2026-07-07,601318,49.93,49.29,50.22,49.17,697675,3454770845.0,2.1,-1.62,-0.81,0.65
2026-07-08,601318,49.36,49.54,49.8,48.96,540995,2678589604.0,1.7,0.51,0.25,0.51
2026-07-09,601318,49.26,49.49,49.61,48.91,662369,3259894112.0,1.41,-0.1,-0.05,0.62
2026-07-10,601318,49.47,49.48,49.97,48.97,764946,3787725071.0,2.02,-0.02,-0.01,0.72
2026-07-13,601318,49.36,49.53,49.73,49.11,716524,3539328300.0,1.25,0.1,0.05,0.67
2026-07-14,601318,49.5,49.6,49.76,48.5,979873,4809693613.0,2.54,0.14,0.07,0.92
2026-07-15,601318,49.58,50.95,51.2,49.45,1286694,6486059071.0,3.53,2.72,1.35,1.21
2026-07-16,601318,50.7,50.67,51.29,50.24,812799,4120400653.0,2.06,-0.55,-0.28,0.76
2026-07-17,601318,50.66,50.7,51.45,50.58,1072327,5464124961.0,1.72,0.06,0.03,1.01
2026-07-20,601318,50.72,53.23,53.27,50.71,1754451,9212523658.0,5.05,4.99,2.53,1.65
2026-07-21,601318,53.68,52.89,54.65,52.51,1599795,8540611562.0,4.02,-0.64,-0.34,1.5
2026-07-22,601318,52.44,53.95,53.98,52.01,1074273,5722414362.0,3.72,2.0,1.06,1.01
2026-07-23,601318,53.8,54.3,54.59,53.45,739547,3998147291.0,2.11,0.65,0.35,0.69
2026-07-24,601318,54.58,54.02,54.6,53.6,852622,4598516043.0,1.84,-0.52,-0.28,0.8
2026-07-27,601318,54.27,53.41,54.27,53.03,651424,3484806455.0,2.3,-1.13,-0.61,0.61
2026-07-28,601318,53.6,54.2,54.2,53.1,660820,3539410421.0,2.06,1.48,0.79,0.62
2026-07-29,601318,54.47,54.3,54.7,53.71,871119,4731710049.0,1.83,0.18,0.1,0.82
2026-07-30,601318,54.06,55.8,55.8,54.06,1058458,5834022322.0,3.2,2.76,1.5,0.99
2026-07-31,601318,54.91,54.9,55.03,54.2,1055130,5765094131.0,1.49,-1.61,-0.9,0.99
2026-08-03,601318,54.8,55.55,55.58,54.7,754694,4166690965.0,1.6,1.18,0.65,0.71
2026-08-04,601318,55.35,53.93,55.39,53.88,915895,4977957448.0,2.72,-2.92,-1.62,0.86
2026-08-05,601318,53.94,54.02,54.24,53.15,733965,3945519851.0,2.02,0.17,0.09,0.69
2026-08-06,601318,54.0,53.5,54.21,53.16,661675,3541174548.0,1.94,-0.96,-0.52,0.62
2026-08-07,601318,53.49,53.38,53.68,53.17,498638,2659698799.0,0.95,-0.22,-0.12,0.47
2026-08-10,601318,53.28,53.32,53.66,53.2,595323,3178152627.0,0.86,-0.11,-0.06,0.56
2026-08-11,601318,53.3,52.55,53.44,52.5,646895,3413185519.0,1.76,-1.44,-0.77,0.61
2026-08-12,601318,52.5,52.6,52.92,52.21,532104,2794422560.0,1.35,0.1,0.05,0.5
2026-08-13,601318,52.49,52.8,52.98,52.31,524006,2760533680.0,1.27,0.38,0.2,0.49
2026-08-14,601318,52.67,51.75,52.77,51.75,642788,3345853597.0,1.93,-1.99,-1.05,0.6
2026-08-17,601318,51.75,51.8,51.99,51.51,502143,2599855024.0,0.93,0.1,0.05,0.47
2026-08-18,601318,51.8,51.32,51.84,51.17,579000,2975702668.0,1.29,-0.93,-0.48,0.54
2026-08-19,601318,51.66,52.08,52.08,51.28,789826,4086762722.0,1.56,1.48,0.76,0.74
2026-08-20,601318,51.85,52.14,52.15,51.6,495295,2570824239.0,1.06,0.12,0.06,0.46
2026-08-21,601318,53.01,53.35,53.59,52.8,1115990,5940991679.0,1.52,2.32,1.21,1.05
2026-08-24,601318,53.34,54.92,55.22,53.3,1307614,7149813532.0,3.6,2.94,1.57,1.23
2026-08-25,601318,55.06,55.01,55.42,54.65,739290,4060610155.0,1.4,0.16,0.09,0.69
2026-08-26,601318,54.87,56.13,56.38,54.66,1053437,5886018865.0,3.13,2.04,1.12,0.99
2026-08-27,601318,55.88,55.87,56.13,55.45,646568,3606576460.0,1.21,-0.46,-0.26,0.61
2026-08-28,601318,55.76,55.85,55.96,55.26,497474,2770723801.0,1.25,-0.04,-0.02,0.47
2026-08-31,601318,55.92,55.82,56.17,55.68,545928,3052052822.0,0.88,-0.05,-0.03,0.51
2026-09-01,601318,55.78,57.23,57.44,55.41,1080897,6156593174.0,3.64,2.53,1.41,1.01
2026-09-02,601318,57.11,56.66,57.48,56.47,547802,3110557584.0,1.76,-1.0,-0.57,0.51
