日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-06-08,000063,37.61,36.4,38.59,36.09,3023492,11393949929.14,6.46,-5.99,-2.32,7.51
2026-06-09,000063,36.98,38.73,38.92,36.78,3107501,12031235972.38,5.88,6.4,2.33,7.72
2026-06-10,000063,38.27,38.01,40.11,37.48,2817708,11004386103.03,6.79,-1.86,-0.72,7.0
2026-06-11,000063,37.5,37.4,39.09,36.87,2480502,9493878259.47,5.84,-1.6,-0.61,6.16
2026-06-12,000063,38.19,35.94,38.29,35.74,2614711,9702654429.79,6.82,-3.9,-1.46,6.49
2026-06-15,000063,36.1,36.81,37.09,35.29,1734932,6385605445.09,5.01,2.42,0.87,4.31
2026-06-16,000063,36.49,37.59,38.07,36.14,2128868,8030855249.42,5.24,2.12,0.78,5.29
2026-06-17,000063,37.09,37.23,37.71,36.71,1514872,5690613089.72,2.66,-0.96,-0.36,3.76
2026-06-18,000063,37.0,37.48,38.23,36.6,2180738,8270111112.66,4.38,0.67,0.25,5.41
2026-06-22,000063,37.66,39.02,39.25,37.48,2936034,11394972116.23,4.72,4.11,1.54,7.29
2026-06-23,000063,38.69,37.6,38.84,37.19,2162020,8306842436.45,4.23,-3.64,-1.42,5.37
2026-06-24,000063,37.09,37.01,37.97,36.39,1627308,6099574723.03,4.2,-1.57,-0.59,4.04
2026-06-25,000063,37.5,38.03,38.39,36.9,2340788,8923520040.33,4.03,2.76,1.02,5.81
2026-06-26,000063,37.38,35.26,37.38,35.26,2345798,8538127161.03,5.57,-7.28,-2.77,5.82
2026-06-29,000063,34.94,34.79,35.77,34.32,1179960,4156144513.59,4.11,-1.33,-0.47,2.93
2026-06-30,000063,34.78,35.78,36.18,34.69,1215484,4386764219.33,4.28,2.85,0.99,3.02
2026-07-01,000063,35.99,36.77,38.01,35.87,2201294,8277456471.77,5.98,2.77,0.99,5.47
2026-07-02,000063,35.87,34.91,35.89,34.8,1824675,6489883155.51,2.96,-5.06,-1.86,4.53
2026-07-03,000063,34.89,35.97,37.09,34.89,1538670,5562537098.58,6.3,3.04,1.06,3.82
2026-07-06,000063,35.59,35.87,36.74,34.79,1514375,5448745097.99,5.42,-0.28,-0.1,3.76
2026-07-07,000063,35.3,35.38,36.08,35.2,879548,3164911234.23,2.45,-1.37,-0.49,2.18
2026-07-08,000063,36.38,36.46,37.09,35.72,1975026,7264845027.26,3.87,3.05,1.08,4.9
2026-07-09,000063,36.69,39.92,40.09,36.57,5359353,20983635141.11,9.65,9.49,3.46,13.31
