日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-06-08,600900,26.71,26.72,26.82,26.47,1180655,3238081015.0,1.3,-0.37,-0.1,0.48
2026-06-09,600900,26.72,26.84,26.91,26.6,882536,2433424842.0,1.16,0.45,0.12,0.36
2026-06-10,600900,26.81,26.9,27.03,26.64,887500,2457850309.0,1.45,0.22,0.06,0.36
2026-06-11,600900,26.9,27.1,27.16,26.81,991250,2759358768.0,1.3,0.74,0.2,0.41
2026-06-12,600900,26.98,27.49,27.5,26.88,1494245,4191923900.0,2.29,1.44,0.39,0.61
2026-06-15,600900,27.45,26.78,27.45,26.6,2076612,5743667948.0,3.09,-2.58,-0.71,0.85
2026-06-16,600900,26.62,26.4,26.66,26.35,1205993,3287063796.0,1.16,-1.42,-0.38,0.49
2026-06-17,600900,26.43,26.21,26.48,26.12,1034442,2794894312.0,1.36,-0.72,-0.19,0.42
2026-06-18,600900,26.14,25.87,26.19,25.86,1295945,3466900701.0,1.26,-1.3,-0.34,0.53
2026-06-22,600900,25.87,26.15,26.3,25.72,1497329,4009564149.0,2.24,1.08,0.28,0.61
2026-06-23,600900,26.14,26.08,26.46,26.07,1185655,3206812850.0,1.49,-0.27,-0.07,0.48
2026-06-24,600900,26.08,25.81,26.21,25.77,1134561,3026880697.0,1.69,-1.04,-0.27,0.46
2026-06-25,600900,25.71,25.43,25.79,25.41,1321876,3482768792.0,1.47,-1.47,-0.38,0.54
2026-06-26,600900,25.46,25.86,25.93,25.36,1282652,3395741671.0,2.24,1.69,0.43,0.52
2026-06-29,600900,25.76,26.05,26.11,25.47,1232579,3286300313.0,2.47,0.73,0.19,0.5
2026-06-30,600900,25.92,25.68,26.05,25.59,1022777,2712032641.0,1.77,-1.42,-0.37,0.42
2026-07-01,600900,25.65,25.85,25.93,25.57,909398,2417436712.0,1.4,0.66,0.17,0.37
2026-07-02,600900,26.0,26.16,26.3,25.76,1400553,3761292696.0,2.09,1.2,0.31,0.57
2026-07-03,600900,26.17,26.26,26.44,26.02,1028243,2779267352.0,1.61,0.38,0.1,0.42
2026-07-06,600900,26.12,26.4,26.41,25.99,924577,2502075780.0,1.6,0.53,0.14,0.38
2026-07-07,600900,26.4,26.62,26.67,26.26,1268220,3460604485.0,1.55,0.83,0.22,0.52
2026-07-08,600900,26.59,27.04,27.36,26.46,1648440,4582942182.0,3.38,1.58,0.42,0.67
2026-07-09,600900,26.91,26.98,27.06,26.74,1160399,3214016729.0,1.18,-0.22,-0.06,0.47
2026-07-10,600900,26.96,27.24,27.33,26.81,1470743,4103252830.0,1.93,0.96,0.26,0.6
2026-07-13,600900,27.14,27.63,27.69,27.01,2008092,5671275769.0,2.5,1.43,0.39,0.82
2026-07-14,600900,27.61,27.76,27.94,27.42,1592410,4530406161.0,1.88,0.47,0.13,0.65
2026-07-15,600900,27.61,27.89,27.98,27.46,1193609,3415566785.0,1.87,0.47,0.13,0.49
2026-07-16,600900,27.86,27.45,27.97,27.34,1461135,4139610581.0,2.26,-1.58,-0.44,0.6
2026-07-17,600900,27.61,27.99,28.19,27.35,2428601,6802221692.0,3.06,1.97,0.54,0.99
2026-07-20,600900,27.75,28.98,28.98,27.75,2292669,6567613792.0,4.39,3.54,0.99,0.94
2026-07-21,600900,29.0,28.73,29.54,28.51,2550056,7372431513.0,3.55,-0.86,-0.25,1.04
2026-07-22,600900,28.53,29.09,29.09,28.34,1682826,4833398608.0,2.61,1.25,0.36,0.69
2026-07-23,600900,29.09,28.94,29.17,28.66,1081553,3122728895.0,1.75,-0.52,-0.15,0.44
2026-07-24,600900,29.2,28.9,29.3,28.75,1021758,2952607877.0,1.9,-0.14,-0.04,0.42
2026-07-27,600900,29.15,28.35,29.15,28.3,1387193,3951796879.0,2.94,-1.9,-0.55,0.57
2026-07-28,600900,28.45,29.07,29.07,28.31,1613028,4643667790.0,2.68,2.54,0.72,0.66
2026-07-29,600900,29.5,28.93,29.57,28.7,1314441,3804789457.0,2.99,-0.48,-0.14,0.54
2026-07-30,600900,28.85,29.49,29.53,28.81,1930634,5667026325.0,2.49,1.94,0.56,0.79
2026-07-31,600900,28.99,29.09,29.09,28.47,1723395,4958587427.0,2.1,-1.36,-0.4,0.7
2026-08-03,600900,28.99,29.05,29.2,28.75,1018010,2949045835.0,1.55,-0.14,-0.04,0.42
2026-08-04,600900,28.89,28.3,29.02,28.18,1508985,4287876494.0,2.89,-2.58,-0.75,0.62
2026-08-05,600900,28.28,27.76,28.3,27.65,1620118,4502975337.0,2.3,-1.91,-0.54,0.66
