日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-06-08,688981,120.0,121.92,124.28,120.0,781226,9545783582.0,3.36,-4.3,-5.48,3.91
2026-06-09,688981,123.5,127.3,128.03,120.89,769663,9607775526.0,5.86,4.41,5.38,3.85
2026-06-10,688981,125.0,125.34,131.18,124.5,669094,8511488618.0,5.25,-1.54,-1.96,3.35
2026-06-11,688981,124.0,127.4,129.08,123.01,626276,7935636355.0,4.84,1.64,2.06,3.13
2026-06-12,688981,131.64,124.88,134.87,124.37,817437,10575818607.0,8.24,-1.98,-2.52,4.09
2026-06-15,688981,128.59,130.52,131.0,124.89,728604,9404695623.0,4.89,4.52,5.64,3.64
2026-06-16,688981,131.0,130.14,134.34,127.93,745583,9738547521.0,4.91,-0.29,-0.38,3.73
2026-06-17,688981,127.91,134.7,134.88,126.68,963562,12699097858.0,6.3,3.5,4.56,4.82
2026-06-18,688981,136.11,140.7,144.63,132.88,1244937,17289251566.0,8.72,4.45,6.0,6.23
2026-06-22,688981,140.78,145.59,148.0,140.0,1060961,15251149626.0,5.69,3.48,4.89,5.31
2026-06-23,688981,143.58,141.7,148.3,139.6,918201,13211881994.0,5.98,-2.67,-3.89,4.59
2026-06-24,688981,141.5,151.53,156.35,141.32,1411624,21160854009.0,10.61,6.94,9.83,7.06
2026-06-25,688981,152.0,156.86,158.66,151.0,1186102,18470621628.0,5.06,3.52,5.33,5.93
2026-06-26,688981,153.7,148.76,156.22,146.5,1076155,16171921139.0,6.2,-5.16,-8.1,5.38
2026-06-29,688981,147.8,151.0,152.99,141.0,1027401,15158412010.0,8.06,1.51,2.24,5.14
2026-06-30,688981,152.05,158.82,160.66,150.0,1066795,16679545014.0,7.06,5.18,7.82,5.34
2026-07-01,688981,160.19,154.48,166.88,152.31,1146777,18327904135.0,9.17,-2.73,-4.34,5.74
2026-07-02,688981,146.5,144.1,151.69,141.26,949024,13942694264.0,6.75,-6.72,-10.38,4.75
2026-07-03,688981,144.89,140.31,146.45,140.2,770412,11011795924.0,4.34,-2.63,-3.79,3.85
2026-07-06,688981,143.4,143.99,147.86,135.26,896631,12737144923.0,8.98,2.62,3.68,4.48
2026-07-07,688981,142.0,145.42,149.51,140.16,689117,10086679237.0,6.49,0.99,1.43,3.45
2026-07-08,688981,148.0,152.1,156.98,142.6,1000253,15091486397.0,9.89,4.59,6.68,5.0
2026-07-09,688981,153.68,173.0,174.51,152.1,1446296,23645910405.0,14.73,13.74,20.9,7.23
2026-07-10,688981,173.0,163.02,176.34,162.58,1127089,19217464804.0,7.95,-5.77,-9.98,5.64
2026-07-13,688981,160.01,163.58,172.44,160.01,1081333,17953925596.0,7.62,0.34,0.56,5.41
